id_lieu,id_local,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,Xlong,Ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm,dataset_id,resource_id
01004-SMT-305,SMT-305,Arrêt covoit'ici Ambérieu en Bugey,Gare d'Ambérieu en Bugey,AMBERIEU-EN-BUGEY,01004,Auto-stop,2022-07-11,true,240100883,5.34272020620408,45.954232106707,0,,,,,,,bnlc_github,bnlc_github
01004-SMT-303,SMT-303,Parking intermodal Gare d'Ambérieu en Bugey,"Rue Emile Bravet, Ambérieu en Bugey",AMBERIEU-EN-BUGEY,01004,Parking,2022-07-11,true,240100883,5.34119617,45.956598704,218,,,,,,,bnlc_github,bnlc_github
01024-SMT-445,SMT-445,Bourg-Nord,Dept. 01 - Autoroute A40 - Diffuseur n°5,ATTIGNAT,01024,Aire de covoiturage,2022-07-11,true,200071751,5.168004,46.259779,24,2,,,,,,bnlc_github,bnlc_github
01024-C-001,C-001,Mairie d'Attignat,Place De La Fontaine- Anciens Combattants,ATTIGNAT,01024,Parking,2019-08-29,true,200071751,5.158352778,46.28957222,5,,,,,,,bnlc_github,bnlc_github
01027-SMT-447,SMT-447,Balan,Dept. 01 - Autoroute A42 - Diffuseur n°6,BALAN,01027,Sortie d'autoroute,2022-07-11,true,240100610,5.1003936,45.850757,16,,,,,,,bnlc_github,bnlc_github
01027-SMT-172,SMT-172,Parking de covoiturage du Revirat,RD 1084 - BALAN (Sortie n°6 Balan),BALAN,01027,Aire de covoiturage,2022-07-11,true,240100610,5.099374,45.850267,85,2,,,,,Co financement 3CM / APRR - Ouverture en novembre 2021,bnlc_github,bnlc_github
01029-SMT-442,SMT-442,Beaupont,Dept. 01 - Autoroute A39 - Diffuseur n°10,BEAUPONT,01029,Aire de covoiturage,2022-07-11,true,200071751,5.26919,46.440334,17,1,,,,,,bnlc_github,bnlc_github
01049-SMT-173,SMT-173,Parking de covoiturage des Pré-Seigneurs,Avenue des Pré-seigneurs - La BOISSE,LA BOISSE,01049,Aire de covoiturage,2022-07-11,true,240100610,5.049643,45.842463,15,,,,,,,bnlc_github,bnlc_github
01065-SMT-512,SMT-512,Buellas,Place feux Corgenon D45,BUELLAS,01065,Parking,2022-07-11,true,200071751,5.1578889,46.1966036,2,,,,,,,bnlc_github,bnlc_github
01089-SMT-451,SMT-451,Aire de covoiturage Château-Gaillard,Dept. 01 - Autoroute A42 - Diffuseur n°8,CHATEAU-GAILLARD,01089,Sortie d'autoroute,2022-07-11,true,240100883,5.312245,45.97676748,23,,,,,,,bnlc_github,bnlc_github
01093-C-001,C-001,Parking Bel Air,Route De Neuville - Parking Bel Air,CHATILLON SUR CHALARONNE,01093,Parking,2019-08-29,true,200071751,4.964663889,46.12900556,10,,,,,,,bnlc_github,bnlc_github
01096-C-001,C-001,Parking La Genetiere,Route De Bourg - La Genetiere,CHAVEYRIAT,01096,Parking,2019-08-29,true,200071751,5.073319444,46.17810278,5,,,,,,,bnlc_github,bnlc_github
01096-SMT-430,SMT-430,Chaveyriat Monument,,CHAVEYRIAT,01096,Aire de covoiturage,2022-07-11,true,200070555,5.059761,46.198883,3,0,,,,,manque indication de l'aire,bnlc_github,bnlc_github
01115-C-001,C-001,Place du Logis Neuf,Place Du Logis Neuf,CONFRANCON,01115,Parking,2019-08-29,true,200071751,5.055497222,46.25655278,3,,,,,,,bnlc_github,bnlc_github
01125-SMT-513,SMT-513,Corveissiat,place Charles Blétel le long de la RD 936,CORVEISSIAT,01125,Parking,2022-07-11,true,200071751,5.480195,46.24133,50,,,,,,,bnlc_github,bnlc_github
