leg,hod,veh_per_hour_avg,veh_per_min_avg
0,0,299.7741046831956,4.99623507805326
0,1,245.2403314917127,4.087338858195212
0,2,192.04918032786884,3.2008196721311473
0,3,152.25274725274724,2.5375457875457874
0,4,137.9146005509642,2.2985766758494033
0,5,135.46866485013624,2.257811080835604
0,6,184.47267759562843,3.074544626593807
0,7,283.6521739130435,4.727536231884058
0,8,353.1885245901639,5.886475409836065
0,9,393.344262295082,6.555737704918033
0,10,440.5482093663912,7.342470156106519
0,11,485.14005602240894,8.085667600373482
0,12,507.0724233983287,8.451207056638811
0,13,507.05494505494505,8.450915750915751
0,14,530.8815426997245,8.848025711662075
0,15,530.6473829201102,8.844123048668504
0,16,540.8591160220994,9.014318600368323
0,17,549.3563535911602,9.155939226519337
0,18,546.391061452514,9.106517690875233
0,19,498.86703601108036,8.314450600184673
0,20,415.3856749311295,6.923094582185491
0,21,392.4642857142857,6.541071428571429
0,22,404.81369863013697,6.7468949771689495
0,23,373.61538461538464,6.226923076923077
1,0,198.0,3.3
1,1,150.0,2.5
1,2,102.0,1.7
1,3,75.5,1.2583333333333333
1,4,106.5,1.775
1,5,174.5,2.908333333333333
1,6,251.5,4.191666666666666
1,7,362.0,6.033333333333333
1,8,402.0,6.7
1,9,326.0,5.433333333333334
1,10,431.0,7.183333333333334
1,11,423.0,7.05
1,12,405.5,6.758333333333334
1,13,432.0,7.2
1,14,426.0,7.1
1,15,476.0,7.933333333333334
1,16,482.5,8.041666666666666
1,17,469.5,7.825
1,18,451.0,7.516666666666667
1,19,429.5,7.158333333333333
1,20,403.0,6.716666666666667
1,21,365.0,6.083333333333333
1,22,336.0,5.6
1,23,267.0,4.45
3,0,237.55769230769232,3.959294871794872
3,1,165.31043956043956,2.755173992673993
3,2,118.18428184281842,1.9697380307136403
3,3,103.61852861035422,1.726975476839237
3,4,132.46575342465752,2.207762557077625
3,5,242.37602179836512,4.039600363306085
3,6,428.62191780821917,7.143698630136986
3,7,610.0980926430518,10.168301544050864
3,8,670.0741758241758,11.16790293040293
3,9,644.0465753424658,10.734109589041095
3,10,631.2142857142857,10.520238095238094
3,11,645.1899441340782,10.75316573556797
3,12,625.7967032967033,10.429945054945055
3,13,615.2771739130435,10.254619565217391
3,14,625.1027027027027,10.418378378378378
3,15,617.2810810810811,10.288018018018018
3,16,616.5256064690027,10.275426774483378
3,17,632.9620596205962,10.54936766034327
3,18,649.7150684931507,10.828584474885846
3,19,592.8087431693989,9.880145719489981
3,20,481.23097826086956,8.020516304347826
3,21,412.7103825136612,6.878506375227687
3,22,376.42622950819674,6.273770491803279
3,23,320.76566757493185,5.346094459582198
4,0,,
4,1,,
4,2,,
4,3,,
4,4,,
4,5,,
4,6,,
4,7,,
4,8,,
4,9,,
4,10,,
4,11,,
4,12,,
4,13,,
4,14,,
4,15,,
4,16,,
4,17,,
4,18,,
4,19,,
4,20,,
4,21,,
4,22,,
4,23,,
5,0,569.1010638297872,9.485017730496454
5,1,445.1489361702128,7.419148936170213
5,2,333.62566844919786,5.560427807486631
5,3,290.3368983957219,4.838948306595365
5,4,414.3891891891892,6.906486486486487
5,5,715.9574468085107,11.932624113475178
5,6,904.951871657754,15.082531194295901
5,7,1058.654255319149,17.64423758865248
5,8,1118.1666666666667,18.636111111111113
5,9,1081.0702702702702,18.017837837837835
5,10,1092.0710382513662,18.201183970856103
5,11,1075.4835164835165,17.924725274725276
5,12,1037.0913978494623,17.284856630824372
5,13,1010.7783783783784,16.846306306306307
5,14,977.9675675675676,16.29945945945946
5,15,919.6684210526316,15.32780701754386
5,16,942.9202127659574,15.715336879432623
5,17,972.2473684210527,16.204122807017544
5,18,965.6989247311828,16.094982078853047
5,19,936.6338797814208,15.610564663023679
5,20,858.2553191489362,14.304255319148938
5,21,777.5449735449736,12.959082892416227
5,22,733.1550802139037,12.219251336898395
5,23,683.8723404255319,11.39787234042553
6,0,115.4,1.9233333333333333
6,1,75.69318181818181,1.2615530303030302
6,2,54.37453183520599,0.9062421972534332
6,3,41.462406015037594,0.6910401002506266
6,4,42.50373134328358,0.7083955223880597
6,5,65.08582089552239,1.0847636815920398
6,6,117.02222222222223,1.9503703703703705
6,7,207.16165413533835,3.4526942355889725
6,8,291.8901515151515,4.864835858585859
6,9,313.3181818181818,5.221969696969697
6,10,323.4029850746269,5.390049751243781
6,11,328.5924528301887,5.476540880503145
6,12,328.07749077490774,5.467958179581796
6,13,321.6985294117647,5.361642156862745
6,14,336.4710144927536,5.6078502415458935
6,15,337.0695970695971,5.617826617826618
6,16,335.7279411764706,5.59546568627451
6,17,330.463503649635,5.5077250608272506
6,18,328.0740740740741,5.4679012345679014
6,19,308.7593984962406,5.145989974937343
6,20,254.48669201520912,4.241444866920152
6,21,205.85114503816794,3.430852417302799
6,22,183.00375939849624,3.0500626566416043
6,23,157.3684210526316,2.62280701754386
7,0,,
7,1,,
7,2,,
7,3,,
7,4,,
7,5,,
7,6,,
7,7,,
7,8,,
7,9,,
7,10,,
7,11,,
7,12,,
7,13,,
7,14,,
7,15,,
7,16,,
7,17,,
7,18,,
7,19,,
7,20,,
7,21,,
7,22,,
7,23,,
9,0,,
9,1,,
9,2,,
9,3,,
9,4,,
9,5,,
9,6,,
9,7,,
9,8,,
9,9,,
9,10,,
9,11,,
9,12,,
9,13,,
9,14,,
9,15,,
9,16,,
9,17,,
9,18,,
9,19,,
9,20,,
9,21,,
9,22,,
9,23,,
11,0,657.3744680851064,10.956241134751773
11,1,543.0296610169491,9.050494350282486
11,2,426.27615062761504,7.104602510460251
11,3,333.0717299578059,5.551195499296766
11,4,287.61181434599155,4.7935302390998595
11,5,320.77405857740587,5.346234309623431
11,6,415.9037656903766,6.931729428172943
11,7,527.6050420168067,8.793417366946779
11,8,612.3711790393013,10.206186317321688
11,9,646.2510822510823,10.770851370851371
11,10,672.9004329004329,11.215007215007214
11,11,718.3171806167401,11.971953010279002
11,12,720.1478260869566,12.002463768115943
11,13,728.4725738396625,12.141209563994375
11,14,764.3446808510638,12.739078014184397
11,15,784.0595744680851,13.067659574468085
11,16,789.4638297872341,13.157730496453901
11,17,796.2789699570816,13.27131616595136
11,18,793.3175965665237,13.221959942775394
11,19,764.4425531914893,12.740709219858156
11,20,725.9227467811158,12.09871244635193
11,21,737.7296137339056,12.29549356223176
11,22,773.5769230769231,12.892948717948718
11,23,756.6042553191489,12.610070921985816
