Avenue12,period,mean_flow_per_hour,std_flow,observations,lambda_per_second,lambda_per_minute
avenue d'iena,evening_peak,341.1107142857143,183.26896312227922,28,0.0947529761904762,5.685178571428572
avenue d'iena,morning_peak,149.56666666666666,112.40959465142186,12,0.041546296296296296,2.4927777777777775
avenue d'iena,noon,301.0181818181818,152.26365803579515,22,0.08361616161616162,5.016969696969697
avenue d'iena,off_peak,260.0080357142857,156.17233731956043,112,0.07222445436507936,4.333467261904762
avenue de friedland,evening_peak,574.2132352941177,176.78873803951282,136,0.15950367647058825,9.570220588235294
avenue de friedland,morning_peak,338.6625,231.71594044640526,80,0.09407291666666667,5.644375
avenue de friedland,noon,560.7310924369748,185.80414772873948,119,0.15575863678804855,9.345518207282913
avenue de friedland,off_peak,425.281007751938,227.77608769146738,516,0.11813361326442721,7.088016795865633
avenue de wagram,evening_peak,1141.3636363636363,145.57618670772925,33,0.3170454545454545,19.02272727272727
avenue de wagram,morning_peak,792.5882352941177,413.9452045294657,17,0.22016339869281046,13.209803921568628
avenue de wagram,noon,1072.3214285714287,184.12054295657595,28,0.29786706349206354,17.87202380952381
avenue de wagram,off_peak,867.130081300813,349.0437278103759,123,0.2408694670280036,14.452168021680217
avenue foch,evening_peak,777.2696629213483,161.1587136987059,89,0.21590823970037454,12.954494382022471
avenue foch,morning_peak,529.4150943396227,295.63988189650496,53,0.14705974842767297,8.823584905660377
avenue foch,noon,785.2682926829268,173.98418040619953,82,0.21813008130081302,13.08780487804878
avenue foch,off_peak,621.375,247.3215832013885,320,0.17260416666666667,10.35625
avenue marceau,evening_peak,1092.0701754385964,138.28010646731337,57,0.3033528265107212,18.20116959064327
avenue marceau,morning_peak,915.3030303030303,346.7199414556802,33,0.2542508417508417,15.255050505050503
avenue marceau,noon,1114.6888888888889,100.1940894242547,45,0.3096358024691358,18.57814814814815
avenue marceau,off_peak,857.6995708154507,336.65497641705326,233,0.23824988078206963,14.294992846924178
