Avenue12,period,mean_flow_per_hour,n,lambda_per_minute,lambda_per_second,rows_in_period,rows_with_flow
avenue des champs-elysees,morning_peak,392.4573770491803,183.0,6.540956284153006,0.10901593806921675,316,183
avenue des champs-elysees,noon,604.1634686346863,271.0,10.069391143911439,0.1678231857318573,511,271
avenue des champs-elysees,evening_peak,565.3808441558441,308.0,9.423014069264068,0.15705023448773447,560,308
avenue de la grande armee,morning_peak,633.2676056338029,71.0,10.554460093896715,0.1759076682316119,195,71
avenue de la grande armee,noon,719.8829787234042,94.0,11.99804964539007,0.1999674940898345,293,94
avenue de la grande armee,evening_peak,652.7956204379562,137.0,10.87992700729927,0.18133211678832117,291,137
avenue kleber,morning_peak,444.70588235294116,51.0,7.411764705882352,0.12352941176470587,191,51
avenue kleber,noon,535.4705882352941,51.0,8.92450980392157,0.1487418300653595,202,51
avenue kleber,evening_peak,448.7037037037037,54.0,7.478395061728395,0.12463991769547325,248,54
avenue victor hugo,morning_peak,257.03125,96.0,4.283854166666667,0.07139756944444445,127,96
avenue victor hugo,noon,340.04545454545456,132.0,5.667424242424243,0.09445707070707071,196,132
avenue victor hugo,evening_peak,364.6553672316384,177.0,6.07758945386064,0.10129315756434401,224,177
avenue foch,morning_peak,553.0357142857143,56.0,9.217261904761905,0.15362103174603176,125,56
avenue foch,noon,817.6704545454545,88.0,13.627840909090908,0.2271306818181818,222,88
avenue foch,evening_peak,814.3191489361702,94.0,13.571985815602837,0.22619976359338062,223,94
avenue hoche,morning_peak,,,,,30,0
avenue hoche,noon,,,,,51,0
avenue hoche,evening_peak,,,,,55,0
avenue carnot,morning_peak,,,,,34,0
avenue carnot,noon,,,,,54,0
avenue carnot,evening_peak,,,,,54,0
avenue mac-mahon,morning_peak,712.0,4.0,11.866666666666667,0.19777777777777777,13,4
avenue mac-mahon,noon,675.2307692307693,13.0,11.253846153846155,0.18756410256410258,28,13
avenue mac-mahon,evening_peak,609.1428571428571,21.0,10.152380952380952,0.1692063492063492,38,21
avenue d'iena,morning_peak,277.68815789473683,76.0,4.62813596491228,0.07713559941520468,232,76
avenue d'iena,noon,476.5762886597938,97.0,7.942938144329897,0.13238230240549828,285,97
avenue d'iena,evening_peak,494.23471074380166,121.0,8.237245179063361,0.137287419651056,339,121
avenue marceau,morning_peak,782.3571428571429,56.0,13.039285714285715,0.21732142857142858,118,56
avenue marceau,noon,995.1875,64.0,16.586458333333333,0.27644097222222225,152,64
avenue marceau,evening_peak,1033.4639175257732,97.0,17.224398625429554,0.2870733104238259,187,97
avenue de friedland,morning_peak,340.57798165137615,109.0,5.676299694189603,0.09460499490316004,127,109
avenue de friedland,noon,559.2715231788079,151.0,9.321192052980132,0.1553532008830022,176,151
avenue de friedland,evening_peak,573.4135802469136,162.0,9.556893004115228,0.15928155006858713,182,162
avenue de wagram,morning_peak,655.875,48.0,10.93125,0.1821875,88,48
avenue de wagram,noon,891.1587301587301,63.0,14.852645502645503,0.24754409171075836,120,63
avenue de wagram,evening_peak,843.1604938271605,81.0,14.052674897119342,0.23421124828532236,137,81
