Avenue12,period,mean_flow_per_hour,std_flow,n,lambda_per_minute,lambda_per_second
avenue d'iena,evening_peak,341.1107142857143,183.26896312227922,28,5.685178571428572,0.0947529761904762
avenue d'iena,morning_peak,149.56666666666666,112.40959465142186,12,2.4927777777777775,0.041546296296296296
avenue d'iena,noon,301.0181818181818,152.26365803579515,22,5.016969696969697,0.08361616161616162
avenue de friedland,evening_peak,574.2132352941177,176.78873803951282,136,9.570220588235294,0.15950367647058825
avenue de friedland,morning_peak,338.6625,231.71594044640526,80,5.644375,0.09407291666666667
avenue de friedland,noon,560.7310924369748,185.80414772873948,119,9.345518207282913,0.15575863678804855
avenue de la grande armee,evening_peak,609.1313131313132,367.75340136233166,99,10.152188552188553,0.1692031425364759
avenue de la grande armee,morning_peak,620.433962264151,454.24416339478637,53,10.340566037735849,0.1723427672955975
avenue de la grande armee,noon,735.8253968253969,436.80378852200755,63,12.263756613756614,0.20439594356261023
avenue de wagram,evening_peak,1141.3636363636363,145.57618670772925,33,19.02272727272727,0.3170454545454545
avenue de wagram,morning_peak,792.5882352941177,413.9452045294657,17,13.209803921568628,0.22016339869281046
avenue de wagram,noon,1072.3214285714287,184.12054295657595,28,17.87202380952381,0.29786706349206354
avenue des champs-elysees,evening_peak,527.4451492537313,288.73518149432704,268,8.79075248756219,0.14651254145936982
avenue des champs-elysees,morning_peak,379.4142857142857,291.8051237249663,161,6.323571428571428,0.10539285714285714
avenue des champs-elysees,noon,594.9185950413223,315.944012887324,242,9.915309917355371,0.16525516528925618
avenue foch,evening_peak,777.2696629213483,161.1587136987059,89,12.954494382022471,0.21590823970037454
avenue foch,morning_peak,529.4150943396227,295.63988189650496,53,8.823584905660377,0.14705974842767297
avenue foch,noon,785.2682926829268,173.98418040619953,82,13.08780487804878,0.21813008130081302
avenue mac-mahon,evening_peak,609.1428571428571,125.17918585543114,21,10.152380952380952,0.1692063492063492
avenue mac-mahon,morning_peak,712.0,313.3741108217674,4,11.866666666666667,0.19777777777777777
avenue mac-mahon,noon,675.2307692307693,123.88042207854708,13,11.253846153846155,0.18756410256410258
avenue marceau,evening_peak,1092.0701754385964,138.28010646731337,57,18.20116959064327,0.3033528265107212
avenue marceau,morning_peak,915.3030303030303,346.7199414556802,33,15.255050505050503,0.2542508417508417
avenue marceau,noon,1114.6888888888889,100.1940894242547,45,18.57814814814815,0.3096358024691358
avenue victor hugo,evening_peak,364.6553672316384,144.4293232589971,177,6.07758945386064,0.10129315756434401
avenue victor hugo,morning_peak,257.03125,190.16593602347453,96,4.283854166666667,0.07139756944444445
avenue victor hugo,noon,340.04545454545456,141.17705107478866,132,5.667424242424243,0.09445707070707071
