avenue,period,mean_flow_per_hour_inbound,lambda_per_minute,lambda_per_second
Champs-Élysées,evening_peak,809.125,13.485416666666667,0.22475694444444444
Champs-Élysées,morning_peak,431.0,7.183333333333334,0.11972222222222222
Champs-Élysées,noon,714.5555555555555,11.90925925925926,0.19848765432098764
Friedland,evening_peak,502.6842105263158,8.378070175438596,0.1396345029239766
Friedland,morning_peak,303.2857142857143,5.054761904761905,0.08424603174603175
Friedland,noon,523.6538461538462,8.727564102564104,0.14545940170940172
Grande-Armée,evening_peak,954.7368421052631,15.912280701754385,0.2652046783625731
Grande-Armée,morning_peak,1100.909090909091,18.34848484848485,0.3058080808080808
Grande-Armée,noon,1095.6153846153845,18.26025641025641,0.3043376068376068
Mac-Mahon,evening_peak,609.1428571428571,10.152380952380952,0.1692063492063492
Mac-Mahon,morning_peak,712.0,11.866666666666667,0.19777777777777777
Mac-Mahon,noon,675.2307692307693,11.253846153846155,0.18756410256410258
