leg,hod,veh_per_hour_avg,veh_per_min_avg
0,0,273.0,4.55
0,1,218.0,3.6333333333333333
0,2,169.0,2.816666666666667
0,3,128.0,2.1333333333333333
0,4,146.4,2.44
0,5,167.33333333333334,2.788888888888889
0,6,162.0,2.7
0,7,362.42857142857144,6.04047619047619
0,8,415.25,6.920833333333333
0,9,422.6,7.043333333333334
0,10,509.7142857142857,8.495238095238095
0,11,499.35714285714283,8.322619047619048
0,12,538.5,8.975
0,13,558.6153846153846,9.310256410256411
0,14,518.5,8.641666666666667
0,15,511.7142857142857,8.528571428571428
0,16,494.2307692307692,8.237179487179487
0,17,531.9230769230769,8.865384615384615
0,18,561.0,9.35
0,19,522.75,8.7125
0,20,335.8888888888889,5.598148148148149
0,21,377.25,6.2875
0,22,353.55555555555554,5.892592592592592
0,23,307.6666666666667,5.127777777777778
1,0,,
1,1,,
1,2,,
1,3,,
1,4,,
1,5,,
1,6,,
1,7,,
1,8,,
1,9,,
1,10,,
1,11,,
1,12,,
1,13,,
1,14,,
1,15,,
1,16,,
1,17,,
1,18,,
1,19,,
1,20,,
1,21,,
1,22,,
1,23,,
3,0,186.5,3.1083333333333334
3,1,116.0,1.9333333333333333
3,2,68.0,1.1333333333333333
3,3,100.66666666666667,1.6777777777777778
3,4,74.0,1.2333333333333334
3,5,143.5,2.3916666666666666
3,6,806.0,13.433333333333334
3,7,884.5,14.741666666666667
3,8,675.0,11.25
3,9,689.0,11.483333333333333
3,10,638.7142857142857,10.645238095238094
3,11,711.6666666666666,11.86111111111111
3,12,654.8571428571429,10.914285714285715
3,13,630.0,10.5
3,14,546.6666666666666,9.11111111111111
3,15,574.1666666666666,9.569444444444445
3,16,592.3333333333334,9.872222222222224
3,17,667.7142857142857,11.128571428571428
3,18,634.5,10.575
3,19,606.0,10.1
3,20,467.5,7.791666666666667
3,21,420.0,7.0
3,22,370.1666666666667,6.169444444444445
3,23,331.0,5.516666666666667
4,0,,
4,2,,
4,3,,
4,4,,
4,5,,
4,7,,
4,8,,
4,9,,
4,10,,
4,11,,
4,12,,
4,13,,
4,14,,
4,15,,
4,16,,
4,17,,
4,18,,
4,19,,
4,20,,
4,21,,
4,22,,
5,0,480.6666666666667,8.011111111111111
5,1,363.0,6.05
5,2,245.0,4.083333333333333
5,3,286.0,4.766666666666667
5,4,501.5,8.358333333333333
5,5,1044.0,17.4
5,6,1214.0,20.233333333333334
5,7,1112.0,18.533333333333335
5,8,1175.5,19.591666666666665
5,9,1044.5,17.408333333333335
5,10,962.25,16.0375
5,11,1149.875,19.164583333333333
5,12,1031.2,17.186666666666667
5,13,954.0,15.9
5,14,855.5,14.258333333333333
5,15,955.6,15.926666666666668
5,16,921.8333333333334,15.363888888888889
5,17,976.1428571428571,16.26904761904762
5,18,909.3333333333334,15.155555555555557
5,19,909.0,15.15
5,20,768.6,12.81
5,21,738.3333333333334,12.305555555555555
5,22,666.6666666666666,11.11111111111111
5,23,506.0,8.433333333333334
6,0,85.66666666666667,1.4277777777777778
6,1,44.0,0.7333333333333333
6,2,38.333333333333336,0.638888888888889
6,3,29.4,0.49
6,4,42.5,0.7083333333333334
6,5,53.4,0.89
6,6,92.0,1.5333333333333334
6,7,252.16666666666666,4.2027777777777775
6,8,373.44444444444446,6.224074074074074
6,9,373.22222222222223,6.220370370370371
6,10,308.7142857142857,5.145238095238096
6,11,378.125,6.302083333333333
6,12,360.42857142857144,6.007142857142857
6,13,452.8,7.546666666666667
6,14,394.375,6.572916666666667
6,15,340.6363636363636,5.677272727272727
6,16,470.55555555555554,7.842592592592593
6,17,371.1,6.1850000000000005
6,18,407.375,6.789583333333334
6,19,382.4,6.373333333333333
6,20,346.0,5.766666666666667
6,21,237.83333333333334,3.963888888888889
6,22,217.83333333333334,3.6305555555555555
6,23,191.66666666666666,3.194444444444444
7,0,,
7,1,,
7,3,,
7,4,,
7,5,,
7,6,,
7,7,,
7,8,,
7,9,,
7,10,,
7,11,,
7,12,,
7,13,,
7,14,,
7,15,,
7,16,,
7,17,,
7,18,,
7,19,,
7,20,,
7,21,,
7,22,,
7,23,,
9,0,,
9,1,,
9,2,,
9,3,,
9,4,,
9,5,,
9,6,,
9,7,,
9,8,,
9,9,,
9,10,,
9,11,,
9,12,,
9,13,,
9,14,,
9,15,,
9,16,,
9,17,,
9,18,,
9,19,,
9,20,,
9,21,,
9,22,,
9,23,,
11,0,,
11,1,389.0,6.483333333333333
11,2,246.0,4.1
11,3,296.0,4.933333333333334
11,4,191.8,3.1966666666666668
11,5,226.0,3.7666666666666666
11,6,317.0,5.283333333333333
11,7,458.5,7.641666666666667
11,8,622.4,10.373333333333333
11,9,738.5,12.308333333333334
11,10,695.1111111111111,11.585185185185185
11,11,735.75,12.2625
11,12,819.875,13.664583333333333
11,13,792.6666666666666,13.21111111111111
11,14,763.1666666666666,12.719444444444443
11,15,765.5714285714286,12.75952380952381
11,16,795.6,13.26
11,17,846.5,14.108333333333333
11,18,812.5,13.541666666666666
11,19,832.6666666666666,13.877777777777776
11,20,706.5,11.775
11,21,1048.0,17.466666666666665
11,22,884.0,14.733333333333333
11,23,558.0,9.3
