hod,leg,p_exit_hod
0,0,0.1787378694007347
0,1,0.28967231390609866
0,4,0.0
0,5,0.06822376957801049
0,6,0.2539247400259517
0,9,0.0
0,10,0.18334338505400516
0,11,0.026097922035199297
1,0,0.21533054220292552
1,1,0.4405851036336383
1,4,0.0
1,5,0.06331731017728846
1,6,0.27518478317051737
1,9,0.0
1,10,0.0
1,11,0.00558226081563033
2,0,0.3316400580551524
2,1,0.22568940493468795
2,5,0.11770682148040638
2,6,0.14005805515239478
2,9,0.0
2,10,0.17793904208998548
2,11,0.006966618287373005
3,0,0.2390422077922078
3,1,0.2353896103896104
3,4,0.0
3,5,0.1846590909090909
3,6,0.22443181818181818
3,9,0.0
3,10,0.11181006493506493
3,11,0.004667207792207792
4,0,0.2522439585730725
4,1,0.14936708860759493
4,4,0.0
4,5,0.19378596087456848
4,6,0.29597238204833143
4,9,0.0
4,10,0.1047180667433832
4,11,0.003912543153049482
5,0,0.12156092083099382
5,1,0.16900617630544637
5,4,0.0
5,5,0.22122403144300953
5,6,0.2425603593486805
5,9,0.0
5,10,0.20606400898371702
5,11,0.03958450308815272
6,0,0.45742205677059095
6,1,0.22731503024662633
6,5,0.20148906468124708
6,6,0.1137738483015356
6,9,0.0
6,10,0.0
6,11,0.0
7,0,0.2617067833698031
7,1,0.21444201312910285
7,4,0.0
7,5,0.11702407002188184
7,6,0.13181619256017504
7,9,0.0
7,10,0.23824945295404815
7,11,0.036761487964989056
8,0,0.3903394850763272
8,1,0.22155388471177945
8,4,0.0
8,5,0.08726361357940306
8,6,0.1346092503987241
8,9,0.0
8,10,0.13643198906356802
8,11,0.02980177717019822
9,0,0.26488461326626156
9,1,0.3155189190181571
9,4,0.0
9,5,0.048192549890763554
9,6,0.18296645798527603
9,9,0.0
9,10,0.15098496392443408
9,11,0.03745249591510767
10,0,0.14583990238953703
10,1,0.2885540764706689
10,4,0.0
10,5,0.05794935771766996
10,6,0.2611354070986935
10,9,0.0
10,10,0.19302743237870665
10,11,0.05349382394472396
11,0,0.19928598750478133
11,1,0.32023460410557186
11,4,0.0
11,5,0.06826469463215606
11,6,0.20780313655488972
11,9,0.0
11,10,0.137753410684687
11,11,0.06665816651791406
12,0,0.25397807466986333
12,1,0.2933817984957754
12,4,0.0
12,5,0.03762494924692098
12,6,0.2127762417586667
12,9,0.0
12,10,0.14460277256820248
12,11,0.05763616326057114
13,0,0.2705504481286302
13,1,0.28562911105127514
13,4,0.0
13,5,0.049678809093356924
13,6,0.2066007616263415
13,9,0.0
13,10,0.13305381390160403
13,11,0.05448705619879217
14,0,0.28544376061711546
14,1,0.2788344611842899
14,4,0.0
14,5,0.04009208462131128
14,6,0.18268400679495392
14,9,0.0
14,10,0.15403752077009478
14,11,0.05890816601223463
15,0,0.24253786280071848
15,1,0.2460713970220159
15,4,0.0
15,5,0.03989949058214976
15,6,0.266997771910366
15,9,0.0
15,10,0.16943296591121013
15,11,0.03506051177353972
16,0,0.19605312684841641
16,1,0.22547722750981342
16,4,0.0
16,5,0.036274667957197394
16,6,0.24619024573856
16,9,0.0
16,10,0.2566650535032532
16,11,0.03933967844275958
17,0,0.2334512145631631
17,1,0.3074960867296655
17,4,0.0
17,5,0.055736564438518175
17,6,0.2624847817264769
17,9,0.0
17,10,0.12731172821612846
17,11,0.013519624326047888
18,0,0.22763357416822763
18,1,0.2854785478547855
18,4,0.0
18,5,0.07914102221032913
18,6,0.2367094817589867
18,9,0.0
18,10,0.14617340112389618
18,11,0.024863972883774864
19,0,0.2204163820071195
19,1,0.2781393453429698
19,4,0.0
19,5,0.05912528615775532
19,6,0.18817494276844893
19,9,0.0
19,10,0.21869044622631334
19,11,0.035453597497393116
20,0,0.20976815547221275
20,1,0.27548585066484826
20,4,0.0
20,5,0.07253665189226048
20,6,0.17683827707694055
20,9,0.0
20,10,0.2341175133537902
20,11,0.03125355153994772
21,0,0.22544651816174996
21,1,0.2677904876580373
21,4,0.0
21,5,0.03820991370660245
21,6,0.20999397953040339
21,9,0.0
21,10,0.23909291591410797
21,11,0.019466185029098935
22,0,0.27172296979392113
22,1,0.20671873529688528
22,4,0.0
22,5,0.10379222734544086
22,6,0.20397101722028796
22,9,0.0
22,10,0.18044603368777642
22,11,0.03334901665568834
23,0,0.20165386391302523
23,1,0.2748604289971876
23,4,0.0
23,5,0.08151786089073584
23,6,0.23934852873273726
23,9,0.0
23,10,0.16618393989002225
23,11,0.03643537757629182
